title;description;url;image
Image Captioning;Neural Network model facilitating assistance to visually impaired individuals;https://colab.research.google.com/drive/1kSgo2RN3v1P1VQ98eRaQ75ZFOURaNDjO;Cap.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://pythonhow.com;19.png
Job Appllication Form; A Flask Application that Uses Get and Post methods to Interact with server and Database;https://github.com/Vikky9135/Job-Application-form-Using-Flask;Job.png
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://pythonhow.com;9.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://pythonhow.com;2.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/Vikky9135/Weather_API;6.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://pythonhow.com;4.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://pythonhow.com;3.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/Vikky9135/Email_webcam_detection;11.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/Vikky9135/Student-Management-System;17.png
Object_detection_opencv;Detects Objects in a given Image Using YOLO V6;https://github.com/Vikky9135/Object_detection_opencv;YOLO.png
Text Classification Using Deep Learning;Uses Neural network to calssify text;https://github.com/Vikky9135/Text_Classification_Using_Deep_Learnin;Text.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://pythonhow.com;16.png
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://github.com/Vikky9135/News_API_Email;5.png
Monitoring Data;A program that monitors a particular website and periodically records the data to a remote server.;https://pythonhow.com;14.png
